day,symbol,time_utc,price,bias,line_val,sma14,close_break_pct,neck_chg_pct,span,sma25,sma99,dist_ma99_pct,sma200,dist_ma200_pct,sma200_slope_pct,sma200_15,dist_ma200_15m_pct,entry,reclaim_3,pnl_15m,pnl_30m,pnl_1h,pnl_2h,pnl_4h,pnl_8h,pnl_12h
2026-08-14,ACE/USDT,2026-08-14 02:30,0.13007,16.55,0.135846,0.129221,5.46,6.58,15,0.127014,0.120668,7.79,0.116126,12.01,2.343,0.110978,17.2,0.13007,False,1.7375259475666829,0.4382255708464575,-1.583762589374957,-1.5453217498270253,-8.67225340201431,-63.72722380256787,-111.24010148381642
2026-08-14,ACE/USDT,2026-08-14 03:00,0.1295,16.55,0.139158,0.130154,8.3,6.58,15,0.12768,0.121566,6.53,0.116781,10.89,2.366,0.111212,16.44,0.12949,False,-1.6063016449146643,-2.0387674723916933,-0.08494864468298632,-4.6258398331917485,-12.186269209977619,-73.1407830720519,-124.04046644528535
2026-08-14,ACE/USDT,2026-08-14 06:10,0.13819,16.37,0.140652,0.137144,3.66,2.38,13,0.135089,0.128115,7.86,0.121474,13.76,2.572,0.112936,22.36,0.13815,False,-0.028954035468702316,-3.7350705754614535,-4.480636988780312,-8.049221860296793,-30.973579442634815,-97.00325732899024,-123.71335504885994
2026-08-14,ACE/USDT,2026-08-14 13:55,0.26051,86.89,0.27051,0.268334,8.79,-3.07,8,0.257134,0.193492,34.64,0.159838,62.98,11.859,0.126606,105.76,0.261,True,-4.275862068965519,-6.601532567049796,-12.134099616858228,-6.245210727969342,-19.4367816091954,-28.908045977011497,24.275862068965516
2026-08-14,ACE/USDT,2026-08-14 16:00,0.28045,74.11,0.286644,0.280342,4.59,0.52,18,0.277431,0.227838,23.09,0.179393,56.33,11.745,0.134219,108.95,0.28048,True,-6.0539075869937236,-3.394181403308604,-1.6079577866514598,-8.599543639475177,-11.676411865373645,14.418140330861382,27.524244152880783
2026-08-14,ACE/USDT,2026-08-14 17:00,0.28499,68.57,0.292628,0.28808,3.29,1.84,12,0.2843,0.244566,16.53,0.18942,50.45,11.443,0.137849,106.74,0.28498,True,-1.5088778159870764,0.2842304723138581,-6.884693662713162,-6.698715699347321,-16.857323320934793,24.240297564741386,45.49091164292231
2026-08-14,ACE/USDT,2026-08-14 18:40,0.29958,61.88,0.309583,0.300302,3.36,3.91,13,0.29516,0.269489,11.17,0.206587,45.01,10.971,0.143604,108.61,0.29958,False,1.8325655918285584,1.6256091861939999,-2.032845984378124,-3.7485813472194276,-18.826356899659523,30.919954603111027,56.21203017557915
2026-08-14,ACE/USDT,2026-08-14 23:25,0.32959,52.01,0.335429,0.347816,2.8,-2.71,17,0.343067,0.310454,6.16,0.261239,26.16,10.439,0.164169,100.76,0.3296,False,5.864684466019422,23.179611650485445,29.58131067961165,36.53519417475728,39.975728155339816,59.17172330097088,
2026-08-14,ACE/USDT,2026-08-14 23:55,0.2532,52.01,0.332125,0.316558,27.34,-2.71,17,0.332788,0.3115,-18.72,0.265666,-4.69,9.525,0.165905,52.62,0.25337,False,-3.0863953901408983,8.39483758929628,17.847416821249553,21.995500651221526,21.174566839010133,46.39460078146584,
2026-08-14,AKE/USDT,2026-08-14 05:20,0.0077169,23.79,0.007756,0.007634,1.94,-1.18,12,0.007571,0.007026,9.84,0.00671,15.0,3.53,0.005084,51.8,0.0077169,True,-2.3623475748033624,-2.707045575295787,-6.575179152250266,-1.6431468594902188,-0.782697715403859,-51.08139278725915,-29.18918218455598
2026-08-14,AKE/USDT,2026-08-14 06:50,0.007858,21.44,0.008274,0.008063,5.91,2.93,11,0.007907,0.007265,8.16,0.006925,13.47,4.268,0.005196,51.23,0.0078752,False,1.389171068671282,0.3999898415278377,4.495123933360435,0.06983949613978434,-20.940420560747647,-44.442045916294184,-27.20692807801706
2026-08-14,AVAAI/USDT,2026-08-14 14:05,0.014587,8.47,0.015444,0.015133,5.73,3.75,20,0.014963,0.014452,0.93,0.014335,1.76,0.386,0.012733,14.56,0.014587,False,-4.346335778432858,-5.539178720778786,-3.8801672722287,-2.8175772948515796,-2.879276067731544,-2.207444985260856,-1.2202646191814703
2026-08-14,AVNT/USDT,2026-08-14 02:50,0.10713,5.49,0.107804,0.108566,1.29,0.59,15,0.107714,0.107847,-0.66,0.106854,0.26,0.893,0.097153,10.27,0.10718,True,-4.021272625489837,-1.520806120544884,-0.5504758350438582,1.3901847359581931,6.67102071281956,6.932263481992902,4.469117372644153
2026-08-14,BR/USDT,2026-08-14 01:25,0.26998,11.55,0.27288,0.269466,1.43,0.8,10,0.266231,0.259308,4.12,0.247202,9.21,2.189,0.210393,28.32,0.27026,False,0.24420927995263594,-0.15910604602974393,0.05180196847479223,3.707540886553679,13.953230222748461,11.559239251091538,11.82934951528158
2026-08-14,EDEN/USDT,2026-08-14 02:25,0.08162,51.42,0.082721,0.081726,4.29,0.43,17,0.080324,0.06996,16.67,0.059227,37.81,7.501,0.049731,64.12,0.08164,False,5.071043606075459,3.7726604605585488,-0.11024007839293588,0.5267025967662908,22.256246937775607,27.290543851053407,35.22782949534542
2026-08-14,H/USDT,2026-08-14 00:00,0.10642,11.92,0.108581,0.107365,2.32,1.29,19,0.106944,0.10248,3.84,0.097668,8.96,1.669,0.093202,14.18,0.10632,False,0.5643340857787842,0.47968397291196063,-0.0658389766741917,-1.4014296463506446,-5.248306997742666,5.3517682468021075,-9.095184349134685
2026-08-14,H/USDT,2026-08-14 00:30,0.10581,11.92,0.109016,0.106676,3.87,1.29,19,0.106937,0.103034,2.69,0.098014,7.95,1.608,0.093366,13.33,0.10575,False,-0.8888888888888856,-0.6052009456264791,-1.2387706855792016,-2.14657210401892,-6.600472813238771,1.2576832151300217,-12.24586288416076
2026-08-14,H/USDT,2026-08-14 16:25,0.11816,13.72,0.12025,0.11958,2.06,0.06,14,0.119409,0.113007,4.56,0.108416,8.99,1.416,0.099053,19.29,0.11827,False,-0.34666441193877884,0.6933288238775693,2.747949606831828,-0.8370677263887756,-1.4035681068740973,4.870212226261944,1.4965756320284043
2026-08-14,H/USDT,2026-08-14 22:35,0.11797,10.11,0.120558,0.12048,2.68,0.39,25,0.120147,0.118943,-0.82,0.112903,4.49,1.543,0.102638,14.94,0.11802,False,-1.1777664802575856,-1.5421115065243196,-1.5166920860871038,6.617522453821384,0.6185392306388702,-2.1945432977461405,-14.090832062362304
2026-08-14,RDDT/USDT,2026-08-14 09:00,177.76,5.35,178.195,177.626429,0.38,0.08,6,176.7396,176.159394,0.91,170.6772,4.15,1.527,160.09815,11.03,177.72,True,-0.2813414359666892,-0.05626828719333464,-0.09565608822866728,-0.36011703803737044,1.1928876884987647,0.5289218996173743,-0.500787756020715
