day,symbol,time_utc,price,bias,line_val,sma14,close_break_pct,neck_chg_pct,span,sma25,sma99,dist_ma99_pct,sma200,dist_ma200_pct,sma200_slope_pct,entry,reclaim_3,pnl_15m,pnl_30m,pnl_1h,pnl_2h,pnl_4h,pnl_8h,pnl_12h,sma200_15,dist_ma200_15m_pct
2026-08-01,AEVO/USDT,2026-08-01 16:00,0.02164,9.77,0.022065,0.02115,5.15,1.97,11,0.021078,0.020592,5.09,0.020263,6.79,1.108,0.02168,True,-10.332103321033205,-13.92988929889298,-5.073800738007381,4.70479704797048,8.164206642066423,4.98154981549816,7.518450184501859,,
2026-08-01,AKE/USDT,2026-08-01 15:55,0.0045647,11.76,0.004655,0.004525,2.8,4.16,12,0.004442,0.004235,7.79,0.004188,8.99,0.191,0.0045651,False,0.8411644870868124,-0.30010295502837114,-7.382094587194158,-4.82793367067534,-19.773937044095426,-30.7265996363716,7.272567961271381,,
2026-08-01,AKE/USDT,2026-08-01 18:40,0.005205,49.67,0.005521,0.005236,6.42,8.59,21,0.005205,0.004563,14.07,0.004308,20.82,2.566,0.0052052,False,1.1988011988011946,-1.6579574271881983,-1.4043648659033188,-6.091984938138782,-10.547145162529779,5.068008914162756,24.63690155997849,,
2026-08-01,BANK/USDT,2026-08-01 05:35,0.05965,15.88,0.061201,0.061488,3.02,-2.56,17,0.061908,0.058723,1.58,0.058494,1.98,0.461,0.05967,True,-3.6534271828389495,4.390816155522045,3.9718451483157433,4.642198759845821,5.915870621752973,9.234120998826882,10.842969666499085,,
2026-08-01,BEAT/USDT,2026-08-01 10:40,4.617,10.71,4.700133,4.631214,2.36,0.66,15,4.62052,4.440818,3.97,4.2945,7.51,1.265,4.617,False,-0.8013861815031389,-1.516136019060002,-2.9023175222005704,-2.035954082737715,-3.227203811999134,8.685293480615114,2.4691358024691334,,
2026-08-01,BEAT/USDT,2026-08-01 12:05,4.684,13.1,4.797333,4.718857,2.99,1.85,9,4.69016,4.505687,3.96,4.338275,7.97,1.412,4.685,False,-0.19210245464248327,-0.8110992529349041,-0.5549626467449453,-0.3628601921024621,-5.84845250800427,8.687299893276416,2.2411953041622104,,
2026-08-01,BEAT/USDT,2026-08-01 16:50,4.877,11.16,4.947444,4.925143,1.87,1.56,18,4.89032,4.733788,3.03,4.530765,7.64,2.173,4.877,True,-1.4558129997949687,-10.703301209760104,-2.7270863235595657,16.93664137789624,11.851548082837798,10.006151322534336,28.11154398195612,,
2026-08-01,BTW/USDT,2026-08-01 01:45,0.10301,15.25,0.104422,0.10337,2.84,1.92,13,0.102238,0.097466,5.69,0.092241,11.67,2.906,0.10302,True,-1.5628033391574454,-7.047175305765874,2.9605901766647227,-7.066589011842356,-8.134342846049309,-21.131819064259364,-10.696952048145993,,
2026-08-01,BTW/USDT,2026-08-01 07:05,0.11355,21.38,0.119778,0.117015,7.44,1.44,9,0.114321,0.107155,5.97,0.100206,13.32,3.363,0.11357,False,-1.6465615919697072,-3.8390420005282984,-0.06163599542132659,-1.8050541516245453,-4.015144844589235,-1.9107158580611,0.9949810689442686,,
2026-08-01,BTW/USDT,2026-08-01 07:35,0.11793,21.38,0.120911,0.117006,5.11,1.44,9,0.115903,0.108228,8.96,0.101048,16.71,3.485,0.11804,False,0.8980006777363652,3.727549983056592,1.4910199932226462,-3.558115892917651,10.699762792273807,-0.8302270416807817,8.75974246018299,,
