day,symbol,time_utc,price,bias,line_val,sma14,close_break_pct,neck_chg_pct,span,vol_ratio,sma25,sma99,dist_ma99_pct,sma200,dist_ma200_pct,sma200_slope_pct,sma200_15,dist_ma200_15m_pct,entry,reclaim_3,pnl_15m,pnl_30m,pnl_1h,pnl_2h,pnl_4h,pnl_8h,pnl_12h
2026-07-15,BSB/USDT,2026-07-15 16:35,0.14873,14.9,0.157693,0.15563,7.63,-0.1,12,4.67,0.15503,0.139401,6.69,0.138878,7.09,0.123,0.138384,7.48,0.14862,False,6.190283945633167,7.636926389449602,8.370340465617014,7.818597766114918,7.980083434261882,6.035526846992333,2.7990849145471652
2026-08-01,UAI/USDT,2026-08-01 14:25,0.4327,21.63,0.476944,0.469714,11.12,-0.52,9,3.87,0.4655,0.415121,4.23,0.398976,8.45,2.746,0.391413,10.55,0.433,False,0.43879907621247405,1.1547344110854514,7.505773672055422,-1.0392609699769062,-14.757505773672058,-21.963048498845268,-23.60277136258661
2026-08-04,AAOI/USDT,2026-08-04 13:30,130.31,16.85,131.864,130.084286,6.37,-0.81,20,7.88,130.7908,121.727273,7.05,116.89985,11.47,2.144,104.5155,24.68,130.31,True,1.7189778221164984,0.8441408947893442,1.450387537410801,-1.5041055943519361,-3.269127465275106,0.27626429284016085,-1.450387537410779
2026-08-04,DRAM/USDT,2026-08-04 19:00,55.2,5.11,55.347857,55.239286,0.61,-0.02,14,4.96,55.1916,54.301919,1.65,52.89425,4.36,1.055,51.6699,6.83,55.21,False,-0.07245064299945508,0.28980257199783316,0.4347038579967434,1.2678862524904961,1.2497735917406225,1.44901285998914,1.122984966491573
2026-08-04,INTC/USDT,2026-08-04 19:55,100.97,5.91,100.74625,100.943571,0.02,-0.48,8,4.52,100.7448,99.072323,1.92,96.1954,4.96,1.182,92.98675,8.59,100.98,True,-0.37631214101801885,1.9607843137254939,2.5450584274113757,3.198653198653202,3.218459100812042,1.3666072489601995,1.0695187165775384
2026-08-04,LITE/USDT,2026-08-04 13:25,852.97,11.38,881.7715,876.342857,3.52,-0.94,20,5.81,881.2468,837.722929,1.82,812.4255,4.99,1.496,759.69625,12.28,852.86,False,1.659123420022041,2.6862556574349794,3.096639542246086,-0.06448889618459706,-0.5897802687428151,1.2815702459958331,0.8348380742443078
