horizon,n,win_rate,avg_pnl,median_pnl,sum_pnl,avg_mfe,avg_mae,p25,p75,best,worst
15m,76,44.73684210526316,0.3186576794425043,-0.235503161609722,24.217983637630326,2.664300118397175,2.100852955026165,-1.3596053219676243,1.513962504569254,21.1969696969697,-11.835469955647381
30m,76,42.10526315789473,-0.4403406256789106,-0.7523554587404295,-33.465887551597206,3.3358152779634827,3.325087018287662,-2.1569754627598465,1.1690742686277769,21.53030303030303,-23.343488194973354
1h,73,47.94520547945205,-1.0639483677893988,-0.3839824465167271,-77.66823084862611,4.65052548771406,5.095146261341595,-3.167746580273579,1.2500312507812694,26.870940412312894,-41.24143183549125
2h,72,44.44444444444444,-0.4146660640562002,-0.6213711215675326,-29.855956612046416,5.874064926477093,7.0871918521000765,-3.5283076876541806,3.762492851015164,27.054504377294545,-45.39223153084541
4h,63,44.44444444444444,-2.243462928728326,-1.344170053141609,-141.33816450988454,8.130192899310849,10.760500010783957,-7.822969088539194,4.266021631608323,33.65151515151515,-69.37293729372936
8h,52,50.0,-0.46168519121470564,0.051000110403606636,-24.007629943164694,12.259705933190657,16.48173302400352,-13.189304310760686,10.03576223388097,40.694719005930516,-43.6963696369637
12h,43,51.162790697674424,-4.059935899957528,0.10706638115631592,-174.57724369817373,14.876524212910125,21.0592910930531,-16.134020525052,8.855185062498892,39.71056439942112,-121.5841584158416
