day,symbol,time_utc,price,bias,line_val,sma14,close_break_pct,neck_chg_pct,span,vol_ratio,sma25,sma99,dist_ma99_pct,sma200,dist_ma200_pct,sma200_slope_pct,sma200_15,dist_ma200_15m_pct,entry,reclaim_3,pnl_15m,pnl_30m,pnl_1h,pnl_2h,pnl_4h,pnl_8h,pnl_12h
2026-08-07,BICO/USDT,2026-08-07 12:15,0.04546,33.34,0.048484,0.049674,8.22,-8.32,13,5.25,0.05007,0.044374,2.45,0.041413,9.77,3.659,0.033278,36.61,0.04544,False,3.8512323943662006,0.68221830985915,-6.734154929577466,-8.516725352112672,-17.055457746478872,-24.053697183098596,-23.1294014084507
2026-08-07,BICO/USDT,2026-08-07 12:50,0.04683,33.34,0.046082,0.045938,3.17,-8.32,13,4.63,0.048426,0.044708,4.75,0.041606,12.55,3.027,0.033497,39.81,0.04682,True,-7.3472874839812015,-4.61341307133704,-8.671507902605727,-8.650149508756936,-19.201196070055527,-16.168304143528406,-14.844083724903884
2026-08-07,BICO/USDT,2026-08-07 18:05,0.05272,32.17,0.053615,0.054468,1.71,-4.11,13,2.72,0.054639,0.050928,3.52,0.045691,15.39,4.505,0.036524,44.34,0.05273,True,-3.6411909728807097,-2.2757443580504453,-1.498198369049875,-5.82211264934573,0.18964536317086275,-5.518680068272337,-16.631898350085343
2026-08-08,RECALL/USDT,2026-08-08 01:45,0.05052,14.19,0.050836,0.050639,1.25,-0.35,15,19.69,0.05051,0.048681,3.78,0.046356,8.98,2.103,0.043082,17.26,0.05056,True,-0.03955696202531485,1.0087025316455767,4.034810126582278,5.3401898734177236,9.770569620253164,11.115506329113924,12.321993670886075
2026-08-09,1000CAT/USDT,2026-08-09 20:10,0.001927,6.7,0.001932,0.001925,0.72,-0.51,19,5.84,0.001921,0.001849,4.22,0.001856,3.8,-0.142,0.001808,6.57,0.001927,True,-0.6227296315516386,-1.3492475350285522,-1.4530358069538272,-2.646600934094461,-5.656460819927356,-2.750389206019725,4.774260508562525
2026-08-09,BEAT/USDT,2026-08-09 23:15,3.817,14.77,3.875556,3.855429,1.64,-0.05,9,3.26,3.80424,3.641273,4.83,3.44747,10.72,2.728,2.865865,33.19,3.817,True,-2.515064186533918,-2.148283992664392,16.05973277443018,17.788839402672263,26.43437254388264,34.162955200419184,34.424941053183126
2026-08-09,COOKIE/USDT,2026-08-09 12:05,0.013614,16.54,0.013963,0.013706,5.72,-0.2,12,6.04,0.013502,0.01248,9.09,0.012336,10.36,2.155,0.010582,28.65,0.013619,False,1.960496365371906,2.0045524634701444,0.6167853733754242,6.079741537557816,8.68639400837066,-11.212276966003383,-15.316836772156556
2026-08-09,COOKIE/USDT,2026-08-09 12:35,0.013346,16.54,0.013949,0.013563,6.22,-0.2,12,7.02,0.013548,0.012556,6.3,0.012383,7.77,2.007,0.010622,25.64,0.013346,False,1.6784055147609789,-1.4161546530795739,-2.1204855387382007,4.450771766821526,3.888805634647088,-12.865277985913382,-12.872770867675701
2026-08-09,TST/USDT,2026-08-09 00:50,0.01622,17.0,0.016304,0.016538,0.95,-4.49,18,8.18,0.016569,0.015887,2.1,0.015323,5.85,2.644,0.013566,19.56,0.01622,True,2.3427866831072652,-4.99383477188657,-6.84340320591864,-14.241676942046876,-10.850801479654756,-0.06165228113442086,0.24660912453759787
2026-08-10,XAN/USDT,2026-08-10 00:20,0.020928,21.76,0.021987,0.021824,5.55,-1.28,7,3.76,0.021295,0.020023,4.52,0.018915,10.64,3.707,0.016035,30.52,0.020929,True,-4.634717377801131,-7.850351187347693,3.053179798365907,37.93301161068374,36.93439724783792,39.648334846385396,40.24081418127956
