day,symbol,time_utc,price,bias,line_val,sma14,close_break_pct,neck_chg_pct,span,vol_ratio,sma25,sma99,dist_ma99_pct,sma200,dist_ma200_pct,sma200_slope_pct,sma200_15,dist_ma200_15m_pct,entry,reclaim_3,pnl_15m,pnl_30m,pnl_1h,pnl_2h,pnl_4h,pnl_8h,pnl_12h
2026-07-12,FHE/USDT,2026-07-12 00:05,0.01914,10.47,0.019628,0.019466,2.94,-0.05,12,2.93,0.019452,0.018787,1.88,0.018025,6.19,1.832,0.017179,11.42,0.01914,False,1.8808777429467045,2.6123301985370975,4.702194357366779,2.7690700104493167,-2.246603970741901,-2.2988505747126404,-1.7241379310344849
2026-07-15,BSB/USDT,2026-07-15 16:35,0.14873,14.9,0.157693,0.15563,7.63,-0.1,12,4.67,0.15503,0.139401,6.69,0.138878,7.09,0.123,0.138384,7.48,0.14862,False,6.190283945633167,7.636926389449602,8.370340465617014,7.818597766114918,7.980083434261882,6.035526846992333,2.7990849145471652
2026-07-19,ARIA/USDT,2026-07-19 01:25,0.0263,14.09,0.027417,0.0272,4.8,-0.15,12,2.64,0.027303,0.026743,-1.66,0.02464,6.74,2.43,0.023497,11.93,0.0263,False,-2.167300380228141,-3.3840304182509446,-4.448669201520916,-7.908745247148283,-6.387832699619775,-6.159695817490494,-20.68441064638782
2026-07-25,SLX/USDT,2026-07-25 03:00,0.12539,13.11,0.12961,0.129847,4.68,-1.12,14,4.94,0.129747,0.122136,2.66,0.118412,5.89,1.362,0.11198,11.98,0.12539,False,-2.7514155833798615,-3.1342212297631304,-4.202886992583138,-1.2919690565435924,1.746550761623732,7.169630752053591,5.997288460004784
2026-07-28,COTI/USDT,2026-07-28 00:00,0.010607,52.94,0.011358,0.011252,7.87,-1.53,13,2.68,0.011207,0.009317,13.85,0.008439,25.69,5.757,0.007758,36.72,0.01061,False,-2.1394910461828442,-6.013195098963239,-2.7709707822808753,-11.366635249764379,-26.44674835061264,-10.188501413760607,-9.434495758718192
2026-08-01,1000RATS/USDT,2026-08-01 01:50,0.05464,42.45,0.064015,0.062253,15.79,-0.54,14,3.35,0.062399,0.058641,-6.82,0.048211,13.33,9.609,0.034135,60.07,0.05464,False,10.9809663250366,19.198389458272327,8.528550512445102,4.227672035139092,15.318448023426065,0.9333821376281177,8.235724743777459
2026-08-02,BEAT/USDT,2026-08-02 10:35,4.183,6.33,4.3129,4.263286,4.66,-0.07,10,3.21,4.27532,3.925202,6.57,4.130485,1.27,-1.901,4.281275,-2.3,4.184,False,-1.0038240917781982,-0.3346080305927398,1.9359464627151146,0.573613766730402,4.660611854684519,19.813575525812624,19.40726577437859
2026-08-04,AAOI/USDT,2026-08-04 13:25,128.57,16.85,131.918,130.136429,2.67,-0.81,20,2.75,130.8168,121.550404,5.78,116.8041,10.07,2.157,104.3574,23.2,128.56,True,2.1079651524580023,-0.9489732420659605,-0.3578095830740572,-3.1269446172993236,-4.682638456751719,-0.9411947728687056,-2.948039825762284
