day,symbol,time_utc,price,bias,line_val,sma14,close_break_pct,neck_chg_pct,span,vol_ratio,sma25,sma99,dist_ma99_pct,sma200,dist_ma200_pct,sma200_slope_pct,entry,reclaim_3,pnl_15m,pnl_30m,pnl_1h,pnl_2h,pnl_4h,pnl_8h,pnl_12h,sma200_15,dist_ma200_15m_pct
2026-08-01,1000SATS/USDT,2026-08-01 11:40,1.131e-05,17.42,1.2e-05,1.2e-05,5.49,-2.55,12,13.47,1.2e-05,1.1e-05,6.09,1.1e-05,5.4,1.713,1.13e-05,False,-1.8584070796460148,-4.424778761061949,-2.5663716814159345,3.185840707964601,2.6548672566371727,7.787610619469026,2.8318584070796486,,
2026-08-01,1000SHIB/USDT,2026-08-01 02:20,0.004869,6.43,0.004902,0.004909,0.72,-1.33,15,21.77,0.004879,0.004768,2.13,0.004721,3.14,0.564,0.00487,True,-1.0061601642710383,-1.8275154004106706,-1.8480492813141642,-2.279260780287474,0.4517453798768032,-0.4928131416837724,-1.9917864476386007,,
2026-08-01,AEVO/USDT,2026-08-01 02:50,0.01982,6.83,0.01992,0.019879,0.8,-0.6,12,5.52,0.019799,0.019308,2.65,0.018876,5.0,0.842,0.01982,False,0.2522704339051535,-0.8577194752774976,-2.0686175580222033,-1.2108980827447053,1.0090817356205966,-6.861755802219981,-6.306760847628645,,
2026-08-01,GIGGLE/USDT,2026-08-01 01:40,46.87,24.2,47.486842,47.955,2.12,-3.52,19,6.87,47.9356,45.521111,2.96,41.90515,11.85,2.403,46.87,False,4.203114998933217,6.379347130360562,10.326434819714095,2.218903349690632,-17.132494132707492,5.205888628120328,10.60379773842543,,
2026-08-01,UAI/USDT,2026-08-01 14:25,0.4327,21.63,0.476944,0.469714,11.12,-0.52,9,7.41,0.4655,0.415121,4.23,0.398976,8.45,2.746,0.433,False,0.43879907621247405,1.1547344110854514,7.505773672055422,-1.0392609699769062,-14.757505773672058,-21.963048498845268,-23.60277136258661,,
2026-08-01,UAI/USDT,2026-08-01 14:55,0.428,21.63,0.475278,0.452393,11.93,-0.52,9,6.01,0.459972,0.417489,2.52,0.400768,6.79,2.627,0.4282,False,6.282111163007947,6.468939747781411,2.3587108827650622,-10.532461466604385,-18.56609061186362,-22.979915927136833,-26.6464269033162,,
2026-08-02,BLESS/USDT,2026-08-02 03:45,0.012774,35.3,0.012823,0.012897,2.51,-4.44,7,5.22,0.012238,0.011398,12.07,0.01043,22.47,4.341,0.012768,True,4.660087719298247,7.495300751879695,2.655075187969917,0.6813909774436111,-8.372493734335844,-17.269736842105267,-31.406641604010037,0.00899,42.09
2026-08-02,HYPER/USDT,2026-08-02 10:20,0.06552,22.16,0.067614,0.068804,4.04,-0.78,19,13.67,0.067944,0.066792,-1.9,0.062862,4.23,1.995,0.06553,False,1.0834732183732676,-0.07630093087134822,-6.058293911185718,-2.395849229360601,-1.4954982450785819,-1.4802380589043165,-1.7396612238669131,0.058485,12.03
2026-08-02,HYPER/USDT,2026-08-02 10:50,0.06558,22.16,0.067447,0.066596,3.92,-0.78,19,13.24,0.067587,0.066964,-2.07,0.063079,3.96,1.889,0.06558,True,-0.8691674290942376,-5.977432143946335,-2.1500457456541544,-3.2936870997255188,-2.8362305580969815,-1.5401036901494314,0.5794449527294988,0.058569,11.97
2026-08-02,UAI/USDT,2026-08-02 05:55,0.5275,14.35,0.538388,0.54265,2.41,-2.19,16,5.06,0.545368,0.538202,-1.99,0.50589,4.27,2.501,0.5275,False,-0.9857819905213238,-2.881516587677724,-2.1611374407583086,-3.3554502369668344,-4.83412322274883,1.7630331753554458,0.7772511848341218,0.425701,23.91
