day,symbol,time_utc,price,bias,line_val,sma14,close_break_pct,neck_chg_pct,span,vol_ratio,sma25,sma99,dist_ma99_pct,sma200,dist_ma200_pct,sma200_slope_pct,sma200_15,dist_ma200_15m_pct,entry,reclaim_3,pnl_15m,pnl_30m,pnl_1h,pnl_2h,pnl_4h,pnl_8h,pnl_12h
2026-08-22,ENA/USDT,2026-08-22 14:00,0.15659,8.0,0.156603,0.158119,0.78,-2.11,12,4.2,0.158256,0.153362,2.1,0.150464,4.07,1.548,0.13401,16.85,0.15659,True,2.3181556932115677,3.2760712689188294,4.131809183217321,4.2723034676543845,3.8380484066671023,-0.09579155757071554,-0.10856376524682512
2026-08-22,ENS/USDT,2026-08-22 01:50,6.098,23.15,6.227364,6.246,3.41,-1.7,11,30.29,6.16976,5.69498,7.08,5.409975,12.72,2.881,4.7723,27.78,6.099,False,0.7050336120675545,-0.3115264797507809,-1.4100672241350944,-1.6232169208066929,2.098704705689459,6.919167076569939,6.624036727332348
2026-08-22,ENS/USDT,2026-08-22 02:20,6.118,23.15,6.168455,6.143357,1.14,-1.7,11,20.76,6.21124,5.73702,6.64,5.441625,12.43,2.825,4.790955,27.7,6.119,True,-0.8007844419022778,-1.0786076156234652,-1.993789834940348,-1.470828566759272,3.0233698316718356,10.442882823990837,7.730021245301518
2026-08-22,ZEC/USDT,2026-08-22 04:55,822.87,22.35,827.506923,824.458571,0.66,-2.42,13,12.75,826.1368,766.165657,7.4,715.15595,15.06,3.136,625.52205,31.55,822.86,False,2.1607563862625443,3.664049777604936,3.6117930146075916,3.143912694747588,3.7005079843472823,3.0491213572175133,0.9685730257881083
2026-08-22,ZEC/USDT,2026-08-22 05:25,792.71,22.35,817.980769,813.027143,5.08,-2.42,13,11.73,820.8624,771.518485,2.75,719.8808,10.12,3.05,627.97805,26.23,792.78,False,1.5300587804939574,-0.04540982365851985,0.7959332980145747,-3.4788970458387,0.2913797018088178,0.7000681147354821,-3.786674739524204
2026-08-23,ENA/USDT,2026-08-23 11:50,0.17516,16.41,0.176481,0.176418,1.48,-2.08,16,8.84,0.176491,0.160677,9.01,0.158564,10.47,1.949,0.151816,15.38,0.17517,True,-0.33110692470171676,-1.5527773020494378,-0.42244676599875464,1.9923502882913704,2.586059256722045,5.81720614260433,7.8095564308957
2026-08-23,PUMP/USDT,2026-08-23 08:00,0.005137,11.85,0.005193,0.005225,2.44,-1.42,12,5.33,0.005099,0.00493,4.2,0.004894,4.97,0.921,0.004438,15.75,0.005137,False,0.42826552462527384,-0.038933229511393136,-1.8493284017909208,-0.6618649016935989,-3.134124975666725,0.6813315164492955,0.837064434494851
2026-08-23,ZRO/USDT,2026-08-23 10:05,1.214,10.4,1.2187,1.222679,0.66,-2.18,17,7.23,1.227596,1.180574,2.83,1.153886,5.21,2.144,1.052427,15.35,1.214,True,-0.15650741350906203,0.7413509060955434,0.32948929159802337,2.1581548599670515,-4.75288303130149,-1.2438220757825464,3.640856672158156
2026-08-24,LIT/USDT,2026-08-24 03:25,3.5962,12.91,3.644169,3.626107,1.36,-1.23,13,25.1,3.61226,3.463339,3.84,3.391815,6.03,1.177,3.231171,11.3,3.5961,False,0.8286755095798178,0.9009760573955115,-3.167320152387312,-3.3897833764355867,-0.16962820833680917,3.2896749256138613,4.655042963210138
2026-08-24,LIT/USDT,2026-08-24 03:55,3.5637,12.91,3.623123,3.607757,1.79,-1.23,13,16.68,3.606648,3.477707,2.47,3.400316,4.8,1.139,3.235419,10.15,3.5637,True,-0.4714201532115477,-4.105283834217249,-4.924656957656368,-3.8807980469736534,-1.1224289362179767,1.0578892723854438,6.030249459831065
2026-08-24,SUPER/USDT,2026-08-24 15:20,0.12723,22.61,0.130054,0.129752,2.72,-2.4,26,49.71,0.129917,0.117456,8.32,0.11294,12.65,2.214,0.104693,21.53,0.12723,False,-0.644502082842087,0.06287825198459226,0.4008488564018002,4.9123634362964745,7.482511986166795,7.65542717912443,5.706201367601993
