day,symbol,time_utc,price,bias,line_val,sma14,close_break_pct,neck_chg_pct,span,vol_ratio,sma25,sma99,dist_ma99_pct,sma200,dist_ma200_pct,entry,reclaim_3,pnl_15m,pnl_30m,pnl_1h,pnl_2h,pnl_4h,pnl_8h,pnl_12h
2026-08-01,1000RATS/USDT,2026-08-01 01:45,0.05851,42.45,0.06404,0.062918,10.02,-0.54,14,2.32,0.062675,0.05864,-0.22,0.048076,21.7,0.05851,False,9.929926508289185,24.406084430011965,20.628952315843442,11.451034011280118,20.851136557853366,7.229533413091775,15.484532558537001
2026-08-01,1000RATS/USDT,2026-08-01 02:15,0.04423,42.45,0.06389,0.056899,32.06,-0.54,14,2.7,0.059777,0.058332,-24.18,0.048747,-9.27,0.04423,False,-7.415781144019892,-4.99660863667195,-19.172507347953882,-22.676916120280364,-8.410581053583543,-15.962016730725761,-8.523626497852142
2026-08-01,UAI/USDT,2026-08-01 14:25,0.4327,21.63,0.476944,0.469714,11.12,-0.52,9,3.87,0.4655,0.415121,4.23,0.398976,8.45,0.433,False,0.43879907621247405,1.1547344110854514,7.505773672055422,-1.0392609699769062,-14.757505773672058,-21.963048498845268,-23.60277136258661
2026-08-02,BEAT/USDT,2026-08-02 10:35,4.183,6.33,4.3129,4.263286,4.66,-0.07,10,3.21,4.27532,3.925202,6.57,4.130485,1.27,4.184,False,-1.0038240917781982,-0.3346080305927398,1.9359464627151146,0.573613766730402,4.660611854684519,19.813575525812624,19.40726577437859
2026-08-02,BLESS/USDT,2026-08-02 20:05,0.017181,25.45,0.018382,0.018111,9.31,-0.29,21,3.53,0.018138,0.016947,1.38,0.015322,12.13,0.017172,False,-3.977405078034006,-4.006522245515963,-1.7062660144421242,-11.472163987887257,-23.159795015140936,-23.57325879338458,-7.896575821104121
2026-08-02,KAITO/USDT,2026-08-02 02:30,1.1939,5.43,1.216677,1.2111,2.07,-0.17,13,2.35,1.208792,1.201937,-0.67,1.164756,2.5,1.1939,False,-1.181003434123461,-0.2261495937683346,0.4187955440154028,1.574671245497942,2.4960214423318576,-1.1056202362006953,10.754669570315778
2026-08-03,AKE/USDT,2026-08-03 01:10,0.0047442,9.73,0.004909,0.004853,5.06,-0.58,10,2.07,0.004852,0.004634,2.39,0.004556,4.14,0.0047445,False,-0.1159237011276277,-0.392032880177059,-0.6786805775108117,-2.9655390452102552,-3.4081568131520865,0.4194330277162985,0.04215407313730421
2026-08-03,BTW/USDT,2026-08-03 19:50,0.10086,18.6,0.108988,0.107035,10.32,-2.01,14,3.15,0.108096,0.102275,-1.38,0.096179,4.87,0.1008,False,7.976190476190482,1.3690476190476253,3.025793650793648,-3.273809523809521,-4.394841269841273,-13.591269841269845,-15.287698412698406
2026-08-03,GIGGLE/USDT,2026-08-03 13:55,41.54,5.63,42.793636,43.020714,3.79,-2.03,11,2.22,43.4804,43.412929,-4.31,42.57,-2.42,41.52,False,-0.3612716763005746,-1.3246628131021125,-1.180154142581876,3.29961464354529,4.4556840077071325,6.382466281310226,6.069364161849719
2026-08-04,AAOI/USDT,2026-08-04 13:25,128.57,16.85,131.918,130.136429,2.67,-0.81,20,2.75,130.8168,121.550404,5.78,116.8041,10.07,128.56,True,2.1079651524580023,-0.9489732420659605,-0.3578095830740572,-3.1269446172993236,-4.682638456751719,-0.9411947728687056,-2.948039825762284
2026-08-04,AXTI/USDT,2026-08-04 01:10,67.78,10.06,68.383333,69.044286,0.94,-3.1,15,2.58,69.9232,69.884646,-3.01,65.9058,2.84,67.82,True,-1.2975523444411823,-2.108522559716908,-2.742553818932489,-2.211736950751991,-3.066941905042779,-6.782659982306118,4.792096726629314
2026-08-04,BICO/USDT,2026-08-04 10:05,0.01765,8.76,0.018218,0.018148,4.76,-0.6,13,2.44,0.018112,0.017196,2.64,0.017284,2.12,0.01764,False,1.984126984126982,0.9070294784580524,1.1904761904761814,1.4172335600907042,2.6643990929705113,-16.21315192743765,-31.575963718820876
2026-08-04,DRAM/USDT,2026-08-04 18:55,55.13,5.11,55.348571,55.232143,0.54,-0.02,14,2.09,55.184,54.277879,1.57,52.8724,4.27,55.14,False,-0.09067827348566768,0.1632208922742173,0.3989844033369584,1.6322089227421084,1.0700036271309454,1.722887196227789,1.0700036271309454
2026-08-04,INTC/USDT,2026-08-04 19:50,100.73,5.91,100.8075,100.94,0.33,-0.48,8,2.59,100.73,99.017576,1.73,96.14595,4.77,100.73,True,-0.7544922068896961,1.4494192395512835,2.769780601608266,3.216519408319278,2.6804328402660604,1.439491710513256,0.833912439193888
2026-08-04,LITE/USDT,2026-08-04 13:25,852.97,11.38,881.7715,876.342857,3.52,-0.94,20,5.81,881.2468,837.722929,1.82,812.4255,4.99,852.86,False,1.659123420022041,2.6862556574349794,3.096639542246086,-0.06448889618459706,-0.5897802687428151,1.2815702459958331,0.8348380742443078
2026-08-04,MRVL/USDT,2026-08-04 18:50,220.46,7.93,221.2925,221.125,0.46,-0.47,12,2.06,221.376,215.768283,2.17,208.11045,5.93,220.46,False,-0.16329492878526047,0.18143880976141052,0.934409870271252,2.2498412410414623,1.3018234600381042,0.5443164292842316,-1.515014061507758
2026-08-04,NBIS/USDT,2026-08-04 00:30,211.44,6.05,216.596,215.848571,2.47,-0.01,10,6.23,215.8732,216.790808,-2.47,206.18835,2.55,211.44,False,-0.7283390087022286,0.30268634127884336,-2.118804388951944,-1.8255769958380692,-2.960650775633745,-3.622777147181232,-2.4971623155505114
