Datetime,Close,High,Low,Open,Volume
2026-08-24 03:00:00-04:00,29174.25,29180.75,29158.0,29164.5,289
2026-08-24 03:01:00-04:00,29157.5,29173.5,29152.0,29173.5,174
2026-08-24 03:02:00-04:00,29146.5,29162.25,29146.5,29158.75,95
2026-08-24 03:03:00-04:00,29160.25,29163.25,29148.5,29148.5,60
2026-08-24 03:04:00-04:00,29167.5,29169.0,29159.25,29160.25,128
2026-08-24 03:05:00-04:00,29172.75,29172.75,29161.25,29165.75,46
2026-08-24 03:06:00-04:00,29182.75,29183.0,29171.5,29173.0,145
2026-08-24 03:07:00-04:00,29191.5,29192.25,29180.25,29182.5,276
2026-08-24 03:08:00-04:00,29191.25,29193.0,29187.25,29192.5,118
2026-08-24 03:09:00-04:00,29193.25,29197.5,29188.75,29189.0,227
2026-08-24 03:10:00-04:00,29186.0,29194.0,29182.0,29193.0,94
2026-08-24 03:11:00-04:00,29200.75,29201.5,29187.0,29187.25,104
2026-08-24 03:12:00-04:00,29202.5,29205.0,29193.0,29200.5,124
2026-08-24 03:13:00-04:00,29202.0,29203.5,29199.75,29203.0,74
2026-08-24 03:14:00-04:00,29200.25,29204.25,29198.75,29202.25,102
2026-08-24 03:15:00-04:00,29202.75,29208.75,29200.0,29200.5,88
2026-08-24 03:16:00-04:00,29192.0,29203.0,29188.0,29203.0,152
2026-08-24 03:17:00-04:00,29192.75,29193.75,29187.75,29193.25,66
2026-08-24 03:18:00-04:00,29187.5,29193.0,29185.25,29191.25,135
2026-08-24 03:19:00-04:00,29197.5,29205.0,29187.75,29188.0,148
2026-08-24 03:20:00-04:00,29187.75,29196.25,29180.25,29196.0,141
2026-08-24 03:21:00-04:00,29188.25,29188.75,29185.5,29187.5,38
2026-08-24 03:22:00-04:00,29190.0,29190.75,29184.25,29188.0,70
2026-08-24 03:23:00-04:00,29186.0,29191.0,29184.25,29191.0,61
2026-08-24 03:24:00-04:00,29187.5,29190.0,29180.75,29185.0,49
2026-08-24 03:25:00-04:00,29198.5,29199.5,29185.0,29188.75,84
2026-08-24 03:26:00-04:00,29191.0,29204.5,29187.75,29199.25,113
2026-08-24 03:27:00-04:00,29195.0,29196.0,29190.5,29191.75,54
2026-08-24 03:28:00-04:00,29184.0,29197.25,29181.0,29195.25,106
2026-08-24 03:29:00-04:00,29183.5,29186.25,29178.5,29182.5,59
2026-08-24 03:30:00-04:00,29186.5,29191.0,29173.5,29182.25,203
2026-08-24 03:31:00-04:00,29185.0,29189.0,29180.0,29188.25,80
2026-08-24 03:32:00-04:00,29196.5,29200.0,29183.75,29185.5,116
2026-08-24 03:33:00-04:00,29201.5,29204.5,29197.25,29197.25,103
2026-08-24 03:34:00-04:00,29206.0,29207.5,29200.25,29201.75,86
2026-08-24 03:35:00-04:00,29211.5,29212.5,29205.5,29207.25,120
2026-08-24 03:36:00-04:00,29211.75,29212.5,29210.25,29211.25,46
2026-08-24 03:37:00-04:00,29204.0,29212.0,29204.0,29211.5,55
2026-08-24 03:38:00-04:00,29197.5,29205.75,29197.5,29202.75,107
2026-08-24 03:39:00-04:00,29192.0,29196.75,29190.5,29196.75,60
2026-08-24 03:40:00-04:00,29182.0,29191.75,29178.0,29191.25,155
2026-08-24 03:41:00-04:00,29174.25,29182.25,29166.0,29182.25,190
2026-08-24 03:42:00-04:00,29173.0,29180.0,29171.75,29176.25,66
2026-08-24 03:43:00-04:00,29169.75,29174.25,29165.5,29173.0,65
2026-08-24 03:44:00-04:00,29162.75,29171.75,29161.25,29170.25,169
2026-08-24 03:45:00-04:00,29172.0,29174.0,29162.0,29163.25,105
2026-08-24 03:46:00-04:00,29169.25,29175.25,29168.75,29172.25,72
2026-08-24 03:47:00-04:00,29167.5,29173.0,29166.0,29171.5,52
2026-08-24 03:48:00-04:00,29165.0,29171.0,29160.5,29168.75,109
2026-08-24 03:49:00-04:00,29158.5,29166.25,29156.25,29166.25,126
2026-08-24 03:50:00-04:00,29157.5,29161.5,29156.25,29157.5,59
2026-08-24 03:51:00-04:00,29158.25,29160.5,29156.5,29157.5,84
2026-08-24 03:52:00-04:00,29144.5,29157.75,29140.5,29157.75,271
2026-08-24 03:53:00-04:00,29139.5,29146.25,29130.75,29144.75,293
2026-08-24 03:54:00-04:00,29146.75,29152.5,29137.75,29141.0,167
2026-08-24 03:55:00-04:00,29143.5,29146.25,29138.25,29146.0,73
2026-08-24 03:56:00-04:00,29139.0,29142.75,29134.25,29142.75,114
2026-08-24 03:57:00-04:00,29145.75,29147.0,29139.0,29139.5,83
2026-08-24 03:58:00-04:00,29143.75,29152.25,29141.5,29145.0,115
2026-08-24 03:59:00-04:00,29143.75,29148.75,29143.25,29143.25,85
2026-08-24 04:00:00-04:00,29138.25,29156.0,29135.0,29146.25,312
2026-08-24 04:01:00-04:00,29131.25,29146.0,29116.75,29140.0,330
2026-08-24 04:02:00-04:00,29130.5,29132.75,29118.0,29131.25,269
2026-08-24 04:03:00-04:00,29136.5,29141.25,29120.5,29131.0,171
